year,constituency,constituency_type,n_member,candidate,party,party_name,votes,votes_perc,rank,result
1972,Jalan Besar,SMC,1,Johnnie Ng,UNF,United National Front,1500,16.14,2,lost
1972,Jalan Kayu,SMC,1,Hwang Soo Jin,PAP,People's Action Party,8283,59.43,1,won
1972,Jalan Kayu,SMC,1,Damodaran Nair M. P.,WP,Workers' Party,5137,36.86,2,lost
1972,Jalan Kayu,SMC,1,Ong Seng Kok,UNF,United National Front,518,3.72,3,lost_deposit
1972,Joo Chiat,SMC,1,Yeoh Ghim Seng,PAP,People's Action Party,11669,83.49,1,won
1972,Joo Chiat,SMC,1,William Cook,UNF,United National Front,2307,16.51,2,lost
1972,Jurong,SMC,1,Ho Kah Leong,PAP,People's Action Party,10741,76.43,1,won
1972,Jurong,SMC,1,Ng Soon Hee,UNF,United National Front,3312,23.57,2,lost
1972,Kallang,SMC,1,Abdul Aziz Karim,PAP,People's Action Party,12626,79.75,1,won
1972,Kallang,SMC,1,Sultan Mydin Bin Abdul Hamid,UNF,United National Front,3205,20.25,2,lost
1972,Kampong Chai Chee,SMC,1,Sha'ari Bin Tadin,PAP,People's Action Party,7458,52.39,1,won
1972,Kampong Chai Chee,SMC,1,Ng Yang Choo,BS,Barisan Sosialis,4188,29.42,2,lost
1972,Kampong Chai Chee,SMC,1,Hashim Bin Yadi,WP,Workers' Party,2590,18.19,3,lost
1972,Kampong Glam,SMC,1,Sinnathamby Rajaratnam,PAP,People's Action Party,0,,1,won_uncontested
1972,Kampong Kapor,SMC,1,Yeo Toon Chia,PAP,People's Action Party,6132,73.15,1,won
1972,Kampong Kapor,SMC,1,Chng Boon Eng,UNF,United National Front,2251,26.85,2,lost
1972,Kampong Kembangan,SMC,1,Mohamed Ariff Bin Suradi,PAP,People's Action Party,9671,57.53,1,won
1972,Kampong Kembangan,SMC,1,Othman Abdullah,WP,Workers' Party,5451,32.43,2,lost
1972,Kampong Kembangan,SMC,1,Kamaruddin Hassan,UNF,United National Front,1687,10.04,3,lost_deposit
1972,Kampong Ubi,SMC,1,Ya'acob bin Mohamed,PAP,People's Action Party,8030,56.86,1,won
1972,Kampong Ubi,SMC,1,Rahman Zin,PKMS,Pertubuhan Kebangsaan Melayu Singapura,5076,35.94,2,lost
1972,Kampong Ubi,SMC,1,Darus Shariff,UNF,United National Front,1017,7.2,3,lost_deposit
1972,Katong,SMC,1,De Conceicao Joseph Francis,PAP,People's Action Party,0,,1,won_uncontested
1972,Kim Keat,SMC,1,Ong Teng Cheong,PAP,People's Action Party,10262,74.0,1,won
1972,Kim Keat,SMC,1,Seow Khee Leng,WP,Workers' Party,3022,21.79,2,lost
1972,Kim Keat,SMC,1,W. J. Paglar,UNF,United National Front,583,4.2,3,lost_deposit
1972,Kim Seng,SMC,1,Ong Leong Boon,PAP,People's Action Party,8178,67.74,1,won
1972,Kim Seng,SMC,1,Heng Swee Tong,WP,Workers' Party,3895,32.26,2,lost
1972,Kreta Ayer,SMC,1,Goh Keng Swee,PAP,People's Action Party,0,,1,won_uncontested
1972,Kuo Chuan,SMC,1,P. Selvadurai,PAP,People's Action Party,10523,73.69,1,won
1972,Kuo Chuan,SMC,1,P. Mano,BS,Barisan Sosialis,3757,26.31,2,lost
1972,Leng Kee,SMC,1,Ahmad Mattar,PAP,People's Action Party,10929,68.28,1,won
1972,Leng Kee,SMC,1,Ng Ho,WP,Workers' Party,4036,25.21,2,lost
1972,Leng Kee,SMC,1,N. Logam,UNF,United National Front,1042,6.51,3,lost_deposit
1972,MacPherson,SMC,1,Chua Sian Chin,PAP,People's Action Party,10117,68.76,1,won
1972,MacPherson,SMC,1,Lee Tow Kiat,WP,Workers' Party,4597,31.24,2,lost
1972,Moulmein,SMC,1,Sia Khoon Seong,PAP,People's Action Party,7412,72.43,1,won
1972,Moulmein,SMC,1,Cheng Poh Yew,WP,Workers' Party,2822,27.57,2,lost
1972,Mountbatten,SMC,1,Ng Yeow Chong,PAP,People's Action Party,0,,1,won_uncontested
1972,Nee Soon,SMC,1,Ong Soo Chuan,PAP,People's Action Party,11636,73.29,1,won
1972,Nee Soon,SMC,1,F. S. Yap,UNF,United National Front,4240,26.71,2,lost
1972,Pasir Panjang,SMC,1,Othman Bin Wok,PAP,People's Action Party,9209,71.77,1,won
1972,Pasir Panjang,SMC,1,Syed Ahmad Bin Syed Husain,UNF,United National Front,3623,28.23,2,lost
1972,Paya Lebar,SMC,1,Tay Boon Too,PAP,People's Action Party,11073,61.59,1,won
1972,Paya Lebar,SMC,1,Tan Poh Seng,WP,Workers' Party,5361,29.82,2,lost
1972,Paya Lebar,SMC,1,Kow Kee Seng,Independent,,1545,8.59,3,lost_deposit
1972,Potong Pasir,SMC,1,Baptist Ivan Cuthbert,PAP,People's Action Party,7772,66.22,1,won
1972,Potong Pasir,SMC,1,Rajaratnam Murugason,WP,Workers' Party,3391,28.89,2,lost
1972,Potong Pasir,SMC,1,Harnek Singh,UNF,United National Front,573,4.88,3,lost_deposit
1972,Punggol,SMC,1,Ng Kah Ting,PAP,People's Action Party,8215,58.13,1,won
1972,Punggol,SMC,1,Ng Teng Kian,Independent,,5917,41.87,2,lost
1972,Queenstown,SMC,1,Jek Yeun Thong,PAP,People's Action Party,14200,81.24,1,won
1972,Queenstown,SMC,1,Chua Eng Huat,WP,Workers' Party,2504,14.33,2,lost
1972,Queenstown,SMC,1,Lew Ban Huat,UNF,United National Front,775,4.43,3,lost_deposit
1972,River Valley,SMC,1,Tan Eng Liang,PAP,People's Action Party,0,,1,won_uncontested
1972,Rochore,SMC,1,Toh Chin Chye,PAP,People's Action Party,6218,60.4,1,won
1972,Rochore,SMC,1,Lee Siew Choh,BS,Barisan Sosialis,4076,39.6,2,lost
1972,Sembawang,SMC,1,Teong Eng Siong,PAP,People's Action Party,8466,77.36,1,won
1972,Sembawang,SMC,1,Mohd Arif,UNF,United National Front,2478,22.64,2,lost
1972,Sepoy Lines,SMC,1,Wee Toon Boon,PAP,People's Action Party,9160,81.3,1,won
1972,Sepoy Lines,SMC,1,Ho Soo Hock,UNF,United National Front,2107,18.7,2,lost
1972,Serangoon Gardens,SMC,1,Rodrigo Leonard Peter,PAP,People's Action Party,0,,1,won_uncontested
1972,Siglap,SMC,1,Abdul Rahim Ishak,PAP,People's Action Party,11456,78.63,1,won
1972,Siglap,SMC,1,Ariffin Noordin,WP,Workers' Party,2529,17.36,2,lost
1972,Siglap,SMC,1,H. M. Yahiya,UNF,United National Front,584,4.01,3,lost_deposit
1972,Stamford,SMC,1,Fong Sip Chee,PAP,People's Action Party,5083,71.77,1,won
1972,Stamford,SMC,1,Chiang Seok Keong,WP,Workers' Party,1999,28.23,2,lost
1972,Tampines,SMC,1,Phua Bah Lee,PAP,People's Action Party,9049,64.3,1,won
1972,Tampines,SMC,1,Tan Sim Hock,PF,People's Front,5025,35.7,2,lost
1972,Tanglin,SMC,1,Barker Edmund William,PAP,People's Action Party,0,,1,won_uncontested
1972,Tanjong Pagar,SMC,1,Lee Kuan Yew,PAP,People's Action Party,7542,84.08,1,won
1972,Tanjong Pagar,SMC,1,Leong Mun Kwai,PF,People's Front,1428,15.92,2,lost
1972,Telok Ayer,SMC,1,Ong Pang Boon,PAP,People's Action Party,7612,83.98,1,won
1972,Telok Ayer,SMC,1,Ng Oh Chew,UNF,United National Front,1452,16.02,2,lost
1972,Telok Blangah,SMC,1,N. Govindasamy,PAP,People's Action Party,7669,57.92,1,won
1972,Telok Blangah,SMC,1,Zainul Abiddin Bin Mohd. Shah,WP,Workers' Party,4714,35.6,2,lost
1972,Telok Blangah,SMC,1,M. Ramasamy,UNF,United National Front,858,6.48,3,lost_deposit
1972,Thomson,SMC,1,Ang Nam Piau,PAP,People's Action Party,12378,72.55,1,won
1972,Thomson,SMC,1,Chung Kit Wong,PF,People's Front,4683,27.45,2,lost
1972,Tiong Bahru,SMC,1,Ch'ng Jit Koon,PAP,People's Action Party,11991,75.62,1,won
1972,Tiong Bahru,SMC,1,Seow Yong Chew,WP,Workers' Party,2972,18.74,2,lost
1972,Tiong Bahru,SMC,1,Lee Kah Chit,UNF,United National Front,894,5.64,3,lost_deposit
1972,Toa Payoh,SMC,1,Cheong Yuen Chee,PAP,People's Action Party,10884,73.85,1,won
1972,Toa Payoh,SMC,1,Tay Cheng Kang,BS,Barisan Sosialis,3853,26.15,2,lost
1972,Ulu Pandan,SMC,1,Chiang Hai Ding,PAP,People's Action Party,9378,71.83,1,won
1972,Ulu Pandan,SMC,1,Ang Kheng Kwan,UNF,United National Front,3678,28.17,2,lost
1972,Upper Serangoon,SMC,1,Sia Kah Hui,PAP,People's Action Party,11862,77.72,1,won
1972,Upper Serangoon,SMC,1,Lim Kia Joo,UNF,United National Front,3401,22.28,2,lost
1972,Whampoa,SMC,1,"Tan Hui Heng, Augustine",PAP,People's Action Party,8773,78.55,1,won
1972,Whampoa,SMC,1,Phang Juet Haw,PF,People's Front,2395,21.45,2,lost
1976,Alexandra,SMC,1,Tan Soo Khoon,PAP,People's Action Party,12413,75.9,1,won
1976,Alexandra,SMC,1,Chua Boon Eng Edward,WP,Workers' Party,3941,24.1,2,lost
1976,Aljunied,SMC,1,Chin Harn Tong,PAP,People's Action Party,12230,74.88,1,won
1976,Aljunied,SMC,1,Lim Kang Chew,WP,Workers' Party,4103,25.12,2,lost
1976,Ang Mo Kio,SMC,1,Yeo Toon Chia alias Yeo Toon Chang,PAP,People's Action Party,0,,1,won_uncontested
1976,Anson,SMC,1,Perumal Govindaswamy,PAP,People's Action Party,0,,1,won_uncontested
1976,Bedok,SMC,1,Sha'ari bin Tadin,PAP,People's Action Party,7928,73.78,1,won
1976,Bedok,SMC,1,Sim Peng Kim,UF,United Front,2818,26.22,2,lost
1976,Boon Lay,SMC,1,Ngeow Pack Hua,PAP,People's Action Party,11749,79.82,1,won
1976,Boon Lay,SMC,1,V Joseph,SJP,Singapore Justice Party,2970,20.18,2,lost
1976,Boon Teck,SMC,1,Phey Yew Kok,PAP,People's Action Party,12698,71.92,1,won
1976,Boon Teck,SMC,1,Ng Seng Chua,BS,Barisan Sosialis,4958,28.08,2,lost
1976,Braddell Heights,SMC,1,Lee Khoon Choy,PAP,People's Action Party,0,,1,won_uncontested
1976,Brickworks,SMC,1,Ahmad Mattar,PAP,People's Action Party,9871,73.99,1,won
1976,Brickworks,SMC,1,Tung Tao-Chang alias Shums,UF,United Front,3470,26.01,2,lost
1976,Bukit Batok,SMC,1,Chai Chong Yii,PAP,People's Action Party,12216,84.57,1,won
1976,Bukit Batok,SMC,1,Sulaiman bin Jaffar,SJP,Singapore Justice Party,2229,15.43,2,lost
1976,Bukit Ho Swee,SMC,1,Seah Mui Kok,PAP,People's Action Party,9451,73.5,1,won
1976,Bukit Ho Swee,SMC,1,Hwang Ban Cheong,UF,United Front,3407,26.5,2,lost
1976,Bukit Merah,SMC,1,Lim Guan Hoo,PAP,People's Action Party,12775,76.37,1,won
1976,Bukit Merah,SMC,1,Wong Kui Yu,UF,United Front,3952,23.63,2,lost
1976,Bukit Panjang,SMC,1,Lee Yiok Seng,PAP,People's Action Party,11867,67.43,1,won
1976,Bukit Panjang,SMC,1,Ho Juan Thai,WP,Workers' Party,5731,32.57,2,lost
1976,Bukit Timah,SMC,1,Chor Yeok Eng,PAP,People's Action Party,0,,1,won_uncontested
1976,Buona Vista,SMC,1,Ang Kok Peng,PAP,People's Action Party,12704,82.75,1,won
1976,Buona Vista,SMC,1,Hashim bin Mukayat,UPF,United People's Front,2649,17.25,2,lost
1976,Cairnhill,SMC,1,Lim Kim San,PAP,People's Action Party,7979,68.17,1,won
1976,Cairnhill,SMC,1,Chiam See Tong,Independent,,3726,31.83,2,lost
1976,Changi,SMC,1,Teo Chong Tee,PAP,People's Action Party,12038,72.63,1,won
1976,Changi,SMC,1,Zainal Abiden bin Mohd Ali,WP,Workers' Party,4537,27.37,2,lost
1976,Chua Chu Kang,SMC,1,Tang See Chim,PAP,People's Action Party,11740,68.75,1,won
1976,Chua Chu Kang,SMC,1,Chan Keng Sieng,WP,Workers' Party,5336,31.25,2,lost
1976,Delta,SMC,1,Yeo Choo Kok,PAP,People's Action Party,10636,76.4,1,won
1976,Delta,SMC,1,Ng Ho,UF,United Front,3286,23.6,2,lost
1976,Farrer Park,SMC,1,Lee Chiaw Meng,PAP,People's Action Party,0,,1,won_uncontested
1976,Geylang East,SMC,1,Ho Cheng Choon,PAP,People's Action Party,9405,68.49,1,won
1976,Geylang East,SMC,1,Kum Teng Hock,WP,Workers' Party,4326,31.51,2,lost
1976,Geylang Serai,SMC,1,Rahmat bin Kenap,PAP,People's Action Party,8780,66.34,1,won
1976,Geylang Serai,SMC,1,Amnah bte Kuong Hussein,PKMS,Pertubuhan Kebangsaan Melayu Singapura,3129,23.64,2,lost
1976,Geylang Serai,SMC,1,Darus bin Shariff,UPF,United People's Front,1326,10.02,3,lost_deposit
1976,Geylang West,SMC,1,Yong Nyuk Lin,PAP,People's Action Party,11912,71.18,1,won
1976,Geylang West,SMC,1,Lim Tiong Hock,UF,United Front,4822,28.82,2,lost
1976,Havelock,SMC,1,Hon Sui Sen,PAP,People's Action Party,9250,79.29,1,won
1976,Havelock,SMC,1,Ngoei Soon On,WP,Workers' Party,2416,20.71,2,lost
1976,Henderson,SMC,1,Lai Tha Chai,PAP,People's Action Party,12857,74.77,1,won
1976,Henderson,SMC,1,Hoe Boon Teck,WP,Workers' Party,4338,25.23,2,lost
1976,Jalan Besar,SMC,1,Chan Chee Seng,PAP,People's Action Party,0,,1,won_uncontested
1976,Jalan Kayu,SMC,1,Hwang Soo Jin,PAP,People's Action Party,8883,61.57,1,won
1976,Jalan Kayu,SMC,1,M P D Nair,WP,Workers' Party,5544,38.43,2,lost
1976,Joo Chiat,SMC,1,Yeoh Ghim Seng,PAP,People's Action Party,9601,74.73,1,won
1976,Joo Chiat,SMC,1,M. Ameer Batcha,WP,Workers' Party,3247,25.27,2,lost
1976,Jurong,SMC,1,Ho Kah Leong alias Ho Kah Leung,PAP,People's Action Party,0,,1,won_uncontested
1976,Kallang,SMC,1,S. Dhanabalan,PAP,People's Action Party,11823,73.9,1,won
1976,Kallang,SMC,1,Chan Yoke Kwong,UF,United Front,4175,26.1,2,lost
1976,Kampong Chai Chee,SMC,1,"Fong Sip Chee, Andrew",PAP,People's Action Party,10729,59.92,1,won
1976,Kampong Chai Chee,SMC,1,J. B. Jeyaretnam,WP,Workers' Party,7177,40.08,2,lost
1976,Kampong Glam,SMC,1,S. Rajaratnam,PAP,People's Action Party,13114,80.18,1,won
1976,Kampong Glam,SMC,1,Ang Bee Lian,UPF,United People's Front,3241,19.82,2,lost
1976,Kampong Kembangan,SMC,1,Mansor Sukaimi,PAP,People's Action Party,8028,64.02,1,won
1976,Kampong Kembangan,SMC,1,R. Murugason,WP,Workers' Party,4511,35.98,2,lost
1976,Kampong Ubi,SMC,1,Ya'acob bin Mohamed,PAP,People's Action Party,13241,68.46,1,won
1976,Kampong Ubi,SMC,1,Sahid Bin Sahooman,PKMS,Pertubuhan Kebangsaan Melayu Singapura,6101,31.54,2,lost
1976,Katong,SMC,1,J. F. Conceicao,PAP,People's Action Party,10721,76.18,1,won
1976,Katong,SMC,1,William Cook,UF,United Front,3353,23.82,2,lost
1976,Khe Bong,SMC,1,Ho See Beng,PAP,People's Action Party,10950,74.33,1,won
1976,Khe Bong,SMC,1,Sim Say Chuan,BS,Barisan Sosialis,3782,25.67,2,lost
1976,Kim Keat,SMC,1,Ong Teng Cheong,PAP,People's Action Party,14262,76.62,1,won
1976,Kim Keat,SMC,1,Chin Tian Choo,BS,Barisan Sosialis,4353,23.38,2,lost
1976,Kim Seng,SMC,1,Ong Leong Boon,PAP,People's Action Party,10975,77.65,1,won
1976,Kim Seng,SMC,1,Chiang Seok Keong,WP,Workers' Party,3159,22.35,2,lost
1976,Kolam Ayer,SMC,1,Sidek bin Saniff,PAP,People's Action Party,13175,72.46,1,won
1976,Kolam Ayer,SMC,1,R. Chetty,UF,United Front,5007,27.54,2,lost
1976,Kreta Ayer,SMC,1,Goh Keng Swee,PAP,People's Action Party,0,,1,won_uncontested
1976,Kuo Chuan,SMC,1,P. Selvadurai,PAP,People's Action Party,11931,74.42,1,won
1976,Kuo Chuan,SMC,1,Ng Ah Chue,BS,Barisan Sosialis,4100,25.58,2,lost
1976,Leng Kee,SMC,1,Ow Chin Hock,PAP,People's Action Party,13356,76.76,1,won
1976,Leng Kee,SMC,1,Ng Lep Chong,UF,United Front,4043,23.24,2,lost
1976,MacPherson,SMC,1,Chua Sian Chin,PAP,People's Action Party,0,,1,won_uncontested
1976,Marine Parade,SMC,1,Goh Chok Tong,PAP,People's Action Party,14418,78.62,1,won
1976,Marine Parade,SMC,1,Monsor Rahman,UF,United Front,3922,21.38,2,lost
1976,Moulmein,SMC,1,Sia Khoon Seong,PAP,People's Action Party,8571,72.73,1,won
1976,Moulmein,SMC,1,Balakrishnan,WP,Workers' Party,2766,23.47,2,lost
1976,Moulmein,SMC,1,Lee Nai Choo,Independent,,447,3.79,3,lost_deposit
1976,Mountbatten,SMC,1,Ng Yeow Chong,PAP,People's Action Party,9412,65.86,1,won
1976,Mountbatten,SMC,1,Seow Khee Leng,UF,United Front,4878,34.14,2,lost
1976,Nee Soon,SMC,1,Ong Soo Chuan,PAP,People's Action Party,0,,1,won_uncontested
1976,Pasir Panjang,SMC,1,Othman bin Wok,PAP,People's Action Party,8138,71.93,1,won
1976,Pasir Panjang,SMC,1,Zainal Abiddin bin Mohd Shah,WP,Workers' Party,3176,28.07,2,lost
1976,Paya Lebar,SMC,1,Tan Cheng San,PAP,People's Action Party,9764,67.52,1,won
1976,Paya Lebar,SMC,1,Wong Hong Toy,WP,Workers' Party,4697,32.48,2,lost
1976,Potong Pasir,SMC,1,Baptist Ivan Cuthbert,PAP,People's Action Party,9667,74.83,1,won
1976,Potong Pasir,SMC,1,Quek Doh Lam,WP,Workers' Party,3252,25.17,2,lost
1976,Punggol,SMC,1,Ng Kah Ting,PAP,People's Action Party,13360,69.41,1,won
1976,Punggol,SMC,1,Tan Yong Sin,WP,Workers' Party,5887,30.59,2,lost
1976,Queenstown,SMC,1,Jek Yeun Thong,PAP,People's Action Party,0,,1,won_uncontested
1976,Radin Mas,SMC,1,Govindasamy N,PAP,People's Action Party,13246,75.65,1,won
1976,Radin Mas,SMC,1,Othman Abdullah,WP,Workers' Party,4263,24.35,2,lost
1976,River Valley,SMC,1,Tan Eng Liang,PAP,People's Action Party,12256,81.82,1,won
1976,River Valley,SMC,1,Wu Kher,WP,Workers' Party,2724,18.18,2,lost
1976,Rochore,SMC,1,Toh Chin Chye,PAP,People's Action Party,9053,65.5,1,won
1976,Rochore,SMC,1,Lee Siew Choh,BS,Barisan Sosialis,4768,34.5,2,lost
1976,Sembawang,SMC,1,Teong Eng Siong,PAP,People's Action Party,13661,83.57,1,won
1976,Sembawang,SMC,1,Santhi Thevar,UPF,United People's Front,2685,16.43,2,lost
1976,Serangoon Gardens,SMC,1,Lau Teik Soon,PAP,People's Action Party,7471,68.74,1,won
1976,Serangoon Gardens,SMC,1,C. H. Crabb,WP,Workers' Party,3397,31.26,2,lost
1976,Siglap,SMC,1,A Rahim Ishak,PAP,People's Action Party,9733,78.2,1,won
1976,Siglap,SMC,1,Weerappulli K. W. B.,UF,United Front,2714,21.8,2,lost
1976,Tampines,SMC,1,Phua Bah Lee,PAP,People's Action Party,0,,1,won_uncontested
1976,Tanglin,SMC,1,Barker Edmund William,PAP,People's Action Party,0,,1,won_uncontested
1976,Tanjong Pagar,SMC,1,Lee Kuan Yew,PAP,People's Action Party,9996,89.03,1,won
1976,Tanjong Pagar,SMC,1,Harbans Singh,UPF,United People's Front,1232,10.97,2,lost_deposit
1976,Telok Ayer,SMC,1,Ong Pang Boon,PAP,People's Action Party,0,,1,won_uncontested
1976,Telok Blangah,SMC,1,Shaik Ahmad bin Abdul Haleem,PAP,People's Action Party,0,,1,won_uncontested
1976,Thomson,SMC,1,Ang Nam Piau,PAP,People's Action Party,10636,74.12,1,won
1976,Thomson,SMC,1,Chung Kit Wong,UF,United Front,3714,25.88,2,lost
1976,Tiong Bahru,SMC,1,Ch'ng Jit Koon,PAP,People's Action Party,15248,83.1,1,won
1976,Tiong Bahru,SMC,1,Teo Kim Hoe,UPF,United People's Front,3100,16.9,2,lost
1976,Toa Payoh,SMC,1,Cheong Yuen Chee,PAP,People's Action Party,9633,73.63,1,won
1976,Toa Payoh,SMC,1,Abdul Rahim,BS,Barisan Sosialis,3450,26.37,2,lost
1976,Ulu Pandan,SMC,1,Chiang Hai Ding,PAP,People's Action Party,0,,1,won_uncontested
1976,Upper Serangoon,SMC,1,Sia Kah Hui,PAP,People's Action Party,9982,79.15,1,won
1976,Upper Serangoon,SMC,1,Ng Kwee Lim,UF,United Front,2630,20.85,2,lost
1976,Whampoa,SMC,1,"Tan Hui Heng, Augustine",PAP,People's Action Party,14636,80.98,1,won
1976,Whampoa,SMC,1,Mohamed Shariff,WP,Workers' Party,3438,19.02,2,lost
1980,Alexandra,SMC,1,Tan Soo Khoon,PAP,People's Action Party,0,,1,won_uncontested
1980,Aljunied,SMC,1,Chin Harn Tong,PAP,People's Action Party,13313,84.59,1,won
1980,Aljunied,SMC,1,Sim Peng Kim,UF,United Front,2425,15.41,2,lost
1980,Ang Mo Kio,SMC,1,Yeo Toon Chia,PAP,People's Action Party,17436,81.99,1,won
1980,Ang Mo Kio,SMC,1,Ang Bee Lian,UPF,United People's Front,3830,18.01,2,lost
1980,Anson,SMC,1,C V Devan Nair,PAP,People's Action Party,11564,84.1,1,won
1980,Anson,SMC,1,Santhi Thevar,UPF,United People's Front,2187,15.9,2,lost
1980,Ayer Rajah,SMC,1,Tan Cheng Bock,PAP,People's Action Party,12400,83.39,1,won
1980,Ayer Rajah,SMC,1,A R Suib,SJP,Singapore Justice Party,2470,16.61,2,lost
1980,Bedok,SMC,1,S Jayakumar,PAP,People's Action Party,14691,75.03,1,won
1980,Bedok,SMC,1,Abdul Rahman Bin Mohamed Zin,PKMS,Pertubuhan Kebangsaan Melayu Singapura,3527,18.01,2,lost
1980,Bedok,SMC,1,Thomas Anthony Tay,UPF,United People's Front,1362,6.96,3,lost_deposit
1980,Boon Lay,SMC,1,Goh Chee Wee,PAP,People's Action Party,15005,74.19,1,won
1980,Boon Lay,SMC,1,Tan Chee Kien,UF,United Front,5220,25.81,2,lost
1980,Boon Teck,SMC,1,Liew Kok Pun,PAP,People's Action Party,11917,68.14,1,won
1980,Boon Teck,SMC,1,Lee Siew Choh,BS,Barisan Sosialis,5571,31.86,2,lost
1980,Braddell Heights,SMC,1,Lee Khoon Choy,PAP,People's Action Party,0,,1,won_uncontested
1980,Brickworks,SMC,1,Ahmad Bin Mohamed Mattar,PAP,People's Action Party,0,,1,won_uncontested
1980,Bukit Batok,SMC,1,Chai Chong Yii,PAP,People's Action Party,0,,1,won_uncontested
1980,Bukit Ho Swee,SMC,1,Seah Mui Kok,PAP,People's Action Party,0,,1,won_uncontested
1980,Bukit Merah,SMC,1,Lim Chee Onn,PAP,People's Action Party,0,,1,won_uncontested
1980,Bukit Panjang,SMC,1,Lee Yiok Seng,PAP,People's Action Party,18510,87.03,1,won
1980,Bukit Panjang,SMC,1,Mohd Sani,UPF,United People's Front,2759,12.97,2,lost
1980,Bukit Timah,SMC,1,Chor Yeok Eng,PAP,People's Action Party,0,,1,won_uncontested
1980,Buona Vista,SMC,1,Ang Kok Peng,PAP,People's Action Party,0,,1,won_uncontested
1980,Cairnhill,SMC,1,Wong Kwei Cheong,PAP,People's Action Party,11444,71.79,1,won
1980,Cairnhill,SMC,1,Fok Tai Loy,SDP,Singapore Democratic Party,4498,28.21,2,lost
1980,Changi,SMC,1,Teo Chong Tee,PAP,People's Action Party,0,,1,won_uncontested
1980,Cheng San,SMC,1,Lee Yock Suan,PAP,People's Action Party,12312,75.89,1,won
1980,Cheng San,SMC,1,Choong Chee Kwong,WP,Workers' Party,3911,24.11,2,lost
1980,Chong Boon,SMC,1,Chandra Das,PAP,People's Action Party,0,,1,won_uncontested
1980,Chua Chu Kang,SMC,1,Tang See Chim,PAP,People's Action Party,0,,1,won_uncontested
1980,Clementi,SMC,1,Bernard Chen Tien Lap,PAP,People's Action Party,12162,85.42,1,won
1980,Clementi,SMC,1,S Munjeet,UPF,United People's Front,2076,14.58,2,lost
1980,Delta,SMC,1,Yeo Choo Kok,PAP,People's Action Party,0,,1,won_uncontested
1980,Geylang Serai,SMC,1,Othman Haron Eusofe,PAP,People's Action Party,13195,71.99,1,won
1980,Geylang Serai,SMC,1,Seow Khee Leng,UF,United Front,5134,28.01,2,lost
1980,Geylang West,SMC,1,Teh Cheang Wan,PAP,People's Action Party,17585,85.45,1,won
1980,Geylang West,SMC,1,Long B Abdullah,UPF,United People's Front,2994,14.55,2,lost
1980,Havelock,SMC,1,Hon Sui Sen,PAP,People's Action Party,0,,1,won_uncontested
1980,Henderson,SMC,1,Lai Tha Chai,PAP,People's Action Party,13363,77.42,1,won
1980,Henderson,SMC,1,Lim Kang Chew,WP,Workers' Party,3897,22.58,2,lost
1980,Jalan Besar,SMC,1,Chan Chee Seng,PAP,People's Action Party,0,,1,won_uncontested
1980,Jalan Kayu,SMC,1,Hwang Soo Jin,PAP,People's Action Party,15275,69.02,1,won
1980,Jalan Kayu,SMC,1,M P D Nair,WP,Workers' Party,6855,30.98,2,lost
1980,Joo Chiat,SMC,1,Yeoh Ghim Seng,PAP,People's Action Party,8542,74.18,1,won
1980,Joo Chiat,SMC,1,Soon Kia Seng,SDP,Singapore Democratic Party,2973,25.82,2,lost
1980,Jurong,SMC,1,Ho Kah Leong,PAP,People's Action Party,0,,1,won_uncontested
1980,Kaki Bukit,SMC,1,Saidi Shariff,PAP,People's Action Party,14550,72.32,1,won
1980,Kaki Bukit,SMC,1,Ibrahim Ariff,PKMS,Pertubuhan Kebangsaan Melayu Singapura,4072,20.24,2,lost
1980,Kaki Bukit,SMC,1,Atim B Ismail,UPF,United People's Front,1496,7.44,3,lost_deposit
1980,Kallang,SMC,1,Suppiah Dhanabalan,PAP,People's Action Party,0,,1,won_uncontested
1980,Kampong Chai Chee,SMC,1,Fong Sip Chee,PAP,People's Action Party,15421,81.22,1,won
1980,Kampong Chai Chee,SMC,1,Leong Yew Thong,UF,United Front,3565,18.78,2,lost
1980,Kampong Glam,SMC,1,S Rajaratnam,PAP,People's Action Party,0,,1,won_uncontested
1980,Kampong Kembangan,SMC,1,Mansor Bin Sukaimi,PAP,People's Action Party,11194,78.74,1,won
1980,Kampong Kembangan,SMC,1,Jamal Bin Idris,PKMS,Pertubuhan Kebangsaan Melayu Singapura,3023,21.26,2,lost
1980,Kampong Ubi,SMC,1,Wan Hussin Zoohri,PAP,People's Action Party,11102,73.88,1,won
1980,Kampong Ubi,SMC,1,Sahid Bin Sahooman,PKMS,Pertubuhan Kebangsaan Melayu Singapura,2813,18.72,2,lost
1980,Kampong Ubi,SMC,1,Sh Ahmad Salim,UPF,United People's Front,1113,7.41,3,lost_deposit
1980,Katong,SMC,1,De Conceicao Joseph Francis,PAP,People's Action Party,0,,1,won_uncontested
1980,Kebun Baru,SMC,1,Lim Boon Heng,PAP,People's Action Party,13632,82.83,1,won
1980,Kebun Baru,SMC,1,Lim Tiong Hock,UF,United Front,1883,11.44,2,lost_deposit
1980,Kebun Baru,SMC,1,Jantan B Taib,UPF,United People's Front,943,5.73,3,lost_deposit
1980,Khe Bong,SMC,1,Ho See Beng,PAP,People's Action Party,10497,72.42,1,won
1980,Khe Bong,SMC,1,Sim Say Chuan,BS,Barisan Sosialis,3998,27.58,2,lost
