year,constituency,constituency_type,n_member,candidate,party,party_name,votes,votes_perc,rank,result
2001,Pasir Ris-Punggol,GRC,5,Michael Lim,PAP,People's Action Party,0,,1,won_uncontested
2001,Pasir Ris-Punggol,GRC,5,Penny Low,PAP,People's Action Party,0,,1,won_uncontested
2001,Pasir Ris-Punggol,GRC,5,Teo Chee Hean,PAP,People's Action Party,0,,1,won_uncontested
2001,Potong Pasir,SMC,1,Chiam See Tong,SDA,Singapore Democratic Alliance,8107,52.43,1,won
2001,Potong Pasir,SMC,1,Sitoh Yih Pin,PAP,People's Action Party,7356,47.57,2,lost
2001,Sembawang,GRC,6,Chin Tet Yung,PAP,People's Action Party,0,,1,won_uncontested
2001,Sembawang,GRC,6,Hawazi B Daipi,PAP,People's Action Party,0,,1,won_uncontested
2001,Sembawang,GRC,6,Kasiviswanathan Shanmugam,PAP,People's Action Party,0,,1,won_uncontested
2001,Sembawang,GRC,6,Lee Wei Rhen Warren,PAP,People's Action Party,0,,1,won_uncontested
2001,Sembawang,GRC,6,Mohd Maliki B Osman,PAP,People's Action Party,0,,1,won_uncontested
2001,Sembawang,GRC,6,Tony Tan Keng Yam,PAP,People's Action Party,0,,1,won_uncontested
2001,Tampines,GRC,5,Mah Bow Tan,PAP,People's Action Party,85915,73.34,1,won
2001,Tampines,GRC,5,Ng Phek Hoong Irene,PAP,People's Action Party,85915,73.34,1,won
2001,Tampines,GRC,5,Ong Kian Min,PAP,People's Action Party,85915,73.34,1,won
2001,Tampines,GRC,5,Sin Boon Ann,PAP,People's Action Party,85915,73.34,1,won
2001,Tampines,GRC,5,Yatiman B Yusof,PAP,People's Action Party,85915,73.34,1,won
2001,Tampines,GRC,5,Abdul Rahim Bin Osman,SDA,Singapore Democratic Alliance,31231,26.66,2,lost
2001,Tampines,GRC,5,Foo Kok Wah,SDA,Singapore Democratic Alliance,31231,26.66,2,lost
2001,Tampines,GRC,5,Neo Ting Wei,SDA,Singapore Democratic Alliance,31231,26.66,2,lost
2001,Tampines,GRC,5,Sebastian Teo K H,SDA,Singapore Democratic Alliance,31231,26.66,2,lost
2001,Tampines,GRC,5,Yip Yew Weng,SDA,Singapore Democratic Alliance,31231,26.66,2,lost
2001,Tanjong Pagar,GRC,6,Chay Wai Chuen,PAP,People's Action Party,0,,1,won_uncontested
2001,Tanjong Pagar,GRC,6,Chong Weng Chiew,PAP,People's Action Party,0,,1,won_uncontested
2001,Tanjong Pagar,GRC,6,Indranee Thurai Rajah,PAP,People's Action Party,0,,1,won_uncontested
2001,Tanjong Pagar,GRC,6,Khaw Boon Wan,PAP,People's Action Party,0,,1,won_uncontested
2001,Tanjong Pagar,GRC,6,Koo Tsai Kee,PAP,People's Action Party,0,,1,won_uncontested
2001,Tanjong Pagar,GRC,6,Lee Kuan Yew,PAP,People's Action Party,0,,1,won_uncontested
